$ javac StudentMergeSort.java
$ java StudentMergeSort

Students Sorted by Final Grade

Student No.     Age       Final Grade
1               15        0
2               15        0
3               16        0
4               17        0
5               15        1
6               15        2
7               16        3
8               16        4
9               15        4
10              17        4
11              15        5
12              16        5
13              17        5
14              15        5
15              16        5
16              17        6
17              15        6
18              16        6
19              18        6
20              17        6
------------------------------------------------
